19:34:02.333 [main] INFO  z.dividend.DividendApplication - Starting DividendApplication using Java 17.0.5 with PID 8792 (C:\Users\seyou\Desktop\my_Git_Hub\Today-I-Learn\Spring\mini-project\Dividend\build\classes\java\main started by wonseyoung in C:\Users\seyou\Desktop\my_Git_Hub\Today-I-Learn\Spring\mini-project\Dividend)
19:34:04.078 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1700 ms
19:34:04.112 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
19:34:04.362 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:dividend user=SA
19:34:04.363 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
19:34:04.374 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dividend'
19:34:04.490 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
19:34:04.580 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.10.Final
19:34:04.635 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
19:34:04.934 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
19:34:06.105 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
19:34:06.164 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
19:34:06.915 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
19:34:07.255 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3c0becae, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@373c367, org.springframework.security.web.context.SecurityContextHolderFilter@28c38eeb, org.springframework.security.web.header.HeaderWriterFilter@35d44cd3, org.springframework.security.web.authentication.logout.LogoutFilter@2b57dc2, zerobase.dividend.security.JwtAuthenticationFilter@7fd3c38b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4283f29b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@48c584c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@79690a0a, org.springframework.security.web.session.SessionManagementFilter@6ae1d5f1, org.springframework.security.web.access.ExceptionTranslationFilter@483f19c0, org.springframework.security.web.access.intercept.AuthorizationFilter@4dfe5727]
19:34:07.263 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
19:34:07.264 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/h2-console/**']
19:34:07.264 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/error'], Ant [pattern='/error']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
19:34:07.264 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Deferred [Mvc [pattern='/error'], Ant [pattern='/error']]
19:34:07.664 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
19:34:07.688 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
19:34:07.700 [main] INFO  z.dividend.DividendApplication - Started DividendApplication in 5.953 seconds (process running for 6.748)
19:34:43.683 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
19:34:43.684 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
19:34:43.685 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
19:34:45.693 [http-nio-8080-exec-3] INFO  z.dividend.web.AuthController - user login -> grace
19:35:20.258 [http-nio-8080-exec-4] INFO  z.d.security.JwtAuthenticationFilter - [grace] -> /company
